attractionId,name,lat,lng,category,capacity,current,status,parentId,capacity
1004,三叠泉,29.555271,116.043974,风景名胜,800,0,1,1001,800
1005,五老峰,29.544069,116.02178,山,2000,0,1,1001,2000
1006,庐山植物园,29.546914,115.986702,公园广场,800,0,1,1001,800
1007,庐山博物馆,29.550748,115.977855,博物馆,1000,0,1,1001,1000
1008,芦林湖,29.549932,115.974446,湖泊,5000,0,1,1001,5000
1009,黄龙寺,29.550641,115.96817,寺庙道观,1500,0,1,1001,1500
1010,黄龙潭,29.551121,115.96337,风景名胜,800,0,1,1001,800
1011,庐山大坝,29.551343,115.960183,风景名胜,1000,0,1,1001,1000
1014,仙人洞,29.562082,115.962579,风景名胜,1000,0,1,1001,1000
1015,礼贤门,29.563853,115.963662,风景名胜,300,0,1,1001,300
1016,好运石,29.56703,115.968492,风景名胜,150,0,1,1001,150
1017,白居易草堂,29.564743,115.967367,风景名胜,150,0,1,1001,150
1018,如琴湖,29.565886,115.971027,湖泊,200,0,1,1001,200
1019,庐山牯岭街心公园,29.568969,115.984152,公园广场,8000,0,1,1001,8000
1020,美庐别墅,29.564294,115.983542,风景名胜,200,0,1,1001,200
1021,283教堂,29.561144,115.98192,教堂,600,0,1,1001,600
1022,朱德旧居,29.558082,115.979329,纪念馆,300,0,1,1001,300
1023,中国共产党中央委员会庐山会议旧址,29.559055,115.977072,风景名胜,1000,0,1,1001,1000
1024,牯岭大酒店,29.567347,115.985691,住宿餐饮,300,0,1,1001,300
1025,庐山大夏民国主题文化酒店,29.559145,115.975387,住宿餐饮,300,0,1,1001,300
1026,索道售票大厅,29.572238,115.976485,景区服务中心,800,0,1,1001,800
1027,庐山北面游客换乘服务中心,29.660623,116.08179,景区服务中心,1000,0,1,1001,1000
1028,南门游客服务中心,29.514142,115.88953,景区服务中心,2000,0,1,1001,2000
1029,江西省庐山人民医院,29.566236,115.977929,医疗急救,1000,0,1,1001,1000
